id,text,timestamp,replyCount,retweetCount,likeCount,quoteCount,viewCount
1647712404543791107,"My dad lost a plain gold signet ring (no engraving) near the Strand or Monument on Saturday 15th April - a gift from his mother 50 years ago, any help much appreciated!",2023-04-16T21:23:44+00:00,0,0,0,0,70
1647655792647057412,"Lost a brown pair of Moscot glasses while at regents park on the 15th of April 2023, probably slipped out of my pockets while sitting on the grass, please do get in touch if found, thank you.",2023-04-16T17:38:47+00:00,0,0,0,0,171
1647580537131868162,Hello! I lost a black Scotiabank credit card around queens gate at Hyde park. I’m here on holiday and it’s my only credit card so it would be grand if someone found it. Thank you,2023-04-16T12:39:45+00:00,0,0,0,0,55
1647348954567147520,"Hi there - lost a set of keys around Bishops Park/SW6, if anyone finds them please let me know! Thanks in advance, Nick",2023-04-15T21:19:31+00:00,0,0,0,0,58
1647279298745708546,Lost black Chanel cardholder at Waterloo Station - had passport card and driving licence inside,2023-04-15T16:42:44+00:00,0,0,0,0,87
1647199320066727937,"lost a small black card holder (YSL) from Finsbury Park station to Euston station on 13 april. It has my BRP, several bank cards. If anyone has seen it or has handed it in anywhere, please let me know, Thank you. Really appreciate your help!",2023-04-15T11:24:56+00:00,0,0,0,0,127
1646958095304740875,Lost white envelope with cash (in £50s) somewhere inside/between the HSBC branch at Oxford Circus and the Oxford Circus underground station (Nike store entrance side). Had my savings in it which I was going to give my Mum to live off back home. I know the chances of getting it back are less than slim but I am hoping there are honest people out there.,2023-04-14T19:26:23+00:00,0,0,0,0,113
1646816715219632129,"I lost my black Kate Spade purse, it has my driving license in it.",2023-04-14T10:04:35+00:00,0,0,0,0,65
1646100552676261890,Black Little wallet Kate spade Mexican ID OYSTER CARD,2023-04-12T10:38:49+00:00,0,0,0,0,95
1644704946967773184,I lost my airpod case in Waterloo station by the barriers. It’s an apple AirPod pro charging case in a black silicone case with a ring to hang it on things. If you take the AirPods out of the case they have the personalisation ‘BRYCE’ on them. Please do let me know if you found this! Thank you,2023-04-08T14:13:11+00:00,0,0,0,0,110
1644644650953613312,"Hi I lost my phone somewhere in Wardour street ,leicester square,London on 7th of April. I noticed my bag was open nearby M&M store. It would be great if anyone found my phone please let me know. Its a special gift given someone special. Samsung A53 5G, Dark blue case and my name written on it.",2023-04-08T10:13:35+00:00,0,0,0,0,101
1644483095507206145,A delicate gold necklace with a pendulum with a swinging diamond. Lost around borough/Bermondsey. Has immense sentimental value.,2023-04-07T23:31:37+00:00,0,0,0,0,82
1644472336257515520,"Good night I am spanish and I am in holidays, I Lost my backpack with a wallet , which have a copy of my spanish identify document and 15£ in hyde park , near the lake . Please Contact with me in the phone number: 676828259",2023-04-07T22:48:52+00:00,0,0,0,0,94
1644156068778344448,I lost a very sentimental white gold diamond bracelet on Wednesday 5th April. I travelled from Paddington to the Kings Cross / Euston area. I am heartbroken. It is an unusual square diamond channel tennis bracelet. Was a gift from my late mum .,2023-04-07T01:52:08+00:00,0,0,0,0,132
1644155477515812864,I lost a very sentimental white gold diamond bracelet on Wednesday 5th April. I travelled from Paddington to the Kings Cross / Euston area. I am heartbroken. It is an unusual square diamond channel tennis bracelet. Was a gift from my late mum .,2023-04-07T01:49:47+00:00,0,0,0,0,120
1644088266289758209,Found Airpod Case during running.,2023-04-06T21:22:43+00:00,0,0,0,0,104
1643956591350235137,"Hello I lost my purse in Harrow ( St anne shopping center ) I don’t care about the purse itself but the documents , particularly the biometric residence permit for me and my son ) It is a brown MK purse , a reward will be offered to the person who will find it please",2023-04-06T12:39:29+00:00,0,0,0,0,61
1643939065958416385,"Hi, I’ve just got married last sunday and currently having a honeymoon in London. I realized my wedding ring disappeared after I went to the Green park tube station toilet. Any help would be grately appreciated xx",2023-04-06T11:29:50+00:00,0,0,0,0,79
1643687437451894803,My wallet was taken from my backpack. It had no cash. Only my credit cards and my US green card. I just want my green card back please. I can pay a reward for anyone willing to come forward and return it,2023-04-05T18:49:57+00:00,0,0,0,0,76
1643257259466665985,This small white portable charger fell out of my pocket when I was walking on this no-cycle road: Dropped pin https://maps.app.goo.gl/xjiXpMePZ4R 4Ksyj7?g_st=ic Here is the product with the correct colour: iWALK Mini Portable Charger... https://www.amazon.co.uk/dp/B07Y4RB LP6?ref=ppx_pop_mob_ap_share,2023-04-04T14:20:35+00:00,0,0,0,0,75
